imdb_title_id,MPAA_rating,Distributor,boxoffice_link
tt0109254,MPAAR,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109254/?ref_=bo_se_r_1
tt0109813,MPAAPG,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109813/?ref_=bo_se_r_1
tt0110971,MPAAPG-13,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110971/?ref_=bo_se_r_1
tt0109493,MPAAPG-13,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109493/?ref_=bo_se_r_1
tt0111257,MPAAR,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0111257/?ref_=bo_se_r_1
tt0109439,MPAAPG-13,Columbia PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109439/?ref_=bo_se_r_1
tt0110357,MPAAG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110357/?ref_=bo_se_r_1
tt0111742,MPAAR,Columbia PicturesSee full company information,https://www.boxofficemojo.com/title/tt0111742/?ref_=bo_se_r_1
tt0111756,MPAAPG-13,Warner Bros.See full company information,https://www.boxofficemojo.com/title/tt0111756/?ref_=bo_se_r_1
tt0111143,MPAAPG-13,Universal PicturesSee full company information,https://www.boxofficemojo.com/title/tt0111143/?ref_=bo_se_r_1
tt0110093,MPAAPG,Walt Disney Studios Motion PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110093/?ref_=bo_se_r_1
tt0109303,MPAAR,Metro-Goldwyn-Mayer (MGM)See full company information,https://www.boxofficemojo.com/title/tt0109303/?ref_=bo_se_r_1
tt0109190,MPAAPG,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0109190/?ref_=bo_se_r_1
tt0110363,MPAAPG,Columbia PicturesSee full company information,https://www.boxofficemojo.com/title/tt0110363/?ref_=bo_se_r_1
tt0109830,MPAAPG-13,Paramount PicturesSee full company information,https://www.boxofficemojo.com/title/tt0109830/?ref_=bo_se_r_1
tt0111503,MPAAR,Twentieth Century FoxSee full company information,https://www.boxofficemojo.com/title/tt0111503/?ref_=bo_se_r_1
